project,version,nme,soft_reuse,vers_soft,type_reuse,ID,ID_nu_1,filter_$
acornjs,acorn-8.1.0,acorn-benchmarks,acorn,*,dependencies,1,24,0
jsbin,jsbin-4.1.8,tern,acorn,0.x.x,dependencies,2,24,0
paperjs,paper.js-0.12.11,paper,acorn,0.x.x,devDependencies,3,24,0
aui,art-template-4.13.2,art-template,acorn,5.x.x,dependencies,4,24,0
yarnpkg,yarn-1.22.10, ,acorn,5.x.x,dependencies,5,24,0
adobe,brackets-release-1.14.2,brackets-src,acorn,5.x.x,dependencies,6,24,0
vuejs,vue-2.6.12,vue,acorn,5.x.x,devDependencies,7,24,0
jasmine,jasmine-3.6.0,jasmine-core,acorn,6.x.x,devDependencies,8,24,0
dcloudio,uni-app-2.0.0-31120210205001,rollup-plugin-require-,acorn,6.x.x,dependencies,9,24,0
skulpt,skulpt-1.3.0,skulpt,acorn,6.x.x,devDependencies,10,24,0
naptha,tesseract.js-2.1.4,tesseract.js,acorn,6.x.x,devDependencies,11,24,0
RocketChat,Rocket.Chat-3.12.0-rc.4,Rocket.Chat,acorn,6.x.x,devDependencies,12,24,0
gpujs,gpu.js-2.11.2,gpu.js,acorn,7.x.x,dependencies,13,24,0
mishoo,UglifyJS-3.13.0,uglify-js,acorn,7.x.x,devDependencies,14,24,0
eslint,eslint-7.21.0,eslint,acorn,7.x.x,devDependencies,15,24,0
angular,material-1.2.2,angular-material-sourc,acorn,7.x.x,dependencies,16,24,0
IdentityModel,oidc-client-js-1.11.5,oidc-client,acorn,7.x.x,dependencies,17,24,0
avajs,ava-3.15.0,ava,acorn,8.x.x,dependencies,18,24,0
GoogleChrome,workbox-6.1.1,workbox,acorn,8.x.x,devDependencies,19,24,0
jsdom,jsdom-16.5.0,jsdom,acorn,8.x.x,dependencies,20,24,0
mozilla,pdf.js-2.7.570,pdf.js,acorn,8.x.x,devDependencies,21,24,0
nodejs,node-15.10.0, ,acorn,8.x.x,devDependencies,22,24,0
sequelize,sequelize-6.5.0,sequelize,acorn,8.x.x,devDependencies,23,24,0
webpack,webpack-5.24.2,webpack,acorn,8.x.x,dependencies,24,24,0
egret-labs,egret-core-5.4.1, ,async,*,dependencies,25,43,0
jakiestfu,Snap.js-2.0.0-rc1,Snap.js,async,*,devDependencies,26,43,0
nwjs,nw.js-nw-v0.51.2,http-proxy@^1.8.1,async,*,devDependencies,27,43,0
jsbin,jsbin-4.1.8, ,async,0.x.x,dependencies,28,43,0
azat-co,practicalnode-1st-edition,hapi,async,0.x.x,dependencies,29,43,0
bower,bower-1.8.12,bower-registry-client,async,0.x.x,dependencies,30,43,0
jnordberg,gif.js-0.2.0,true,async,0.x.x,dependencies,31,43,0
liferay,alloy-ui-3.1.0-deprecated.79,surface,async,0.x.x,dependencies,32,43,0
louischatriot,nedb-1.6.0,nedb,async,0.x.x,dependencies,33,43,0
mozilla,thimble.mozilla.org-2.0.0,thimble,async,0.x.x,dependencies,34,43,0
nylas,nylas-mail-2.0.31,nylas-mail,async,0.x.x,dependencies,35,43,0
SAP,openui5-1.87.0,openui5,async,0.x.x,devDependencies,36,43,0
swagger-api,swagger-node-0.7.5,swagger,async,1.x.x,dependencies,37,43,0
meanjs,mean-0.4.2,meanjs,async,1.x.x,dependencies,38,43,0
serratus,quaggaJS-1.0.0-beta.2,quagga,async,1.x.x,devDependencies,39,43,0
jedireza,drywall-0.18.1,Drywall,async,1.x.x,dependencies,40,43,0
Automattic,wp-calypso-6.12.0-beta1,@automattic/webpack-rt,async,2.x.x,dependencies,41,43,0
brave,browser-laptop-0.27.3,brave,async,2.x.x,dependencies,42,43,0
elasticsearch-d,elasticsearch-dump-6.66.1,EvanTahler<evantahler@,async,2.x.x,dependencies,43,43,0
locutusjs,locutus-2.0.14,locutus,async,2.x.x,devDependencies,44,43,0
RocketChat,Rocket.Chat-3.12.0-rc.4, ,async,2.x.x,dependencies,45,43,0
yarnpkg,yarn-1.22.10, ,async,2.x.x,dependencies,46,43,0
adobe,brackets-release-1.14.2,Brackets,async,2.x.x,dependencies,47,43,0
angular-fullsta,generator-angular-fullstack-5,webpack.js.org,async,2.x.x,devDependencies,48,43,0
EFForg,https-everywhere-2021.1.27,hsts-prune,async,2.x.x,dependencies,49,43,0
jshint,jshint-relicensing-2020,jshint,async,2.x.x,devDependencies,50,43,0
stealjs,steal-2.2.4,steal,async,2.x.x,devDependencies,51,43,0
arkime,arkime-2.7.1,moloch,async,2.x.x,dependencies,52,43,0
Azure,azure-sdk-for-node-2.2.0-prev,ms-rest-azure,async,2.x.x,dependencies,53,43,0
clientIO,joint-3.3.1,jointjs,async,2.x.x,devDependencies,54,43,0
keystonejs,keystone-classic-4.2.1,keystone,async,2.x.x,dependencies,55,43,0
lodash,lodash-4.17.21,lodash,async,2.x.x,devDependencies,56,43,0
rwaldron,johnny-five-2.0.0,johnny-five,async,2.x.x,devDependencies,57,43,0
strapi,strapi-3.5.1,strapi-generate,async,2.x.x,dependencies,58,43,0
atom,atom-1.55.0-beta0,atom,async,3.x.x,dependencies,59,43,0
Countly,countly-server-21.11.1,countly-server,async,3.x.x,dependencies,60,43,0
haraka,Haraka-2.8.27,MattSergeant<helpme@gm,async,3.x.x,dependencies,61,43,0
lovell,sharp-0.27.2,sharp-benchmark,async,3.x.x,devDependencies,62,43,0
NodeBB,NodeBB-1.17.0-beta.0,nodebb,async,3.x.x,dependencies,63,43,0
nodejs,node-15.10.0,iconv-lite,async,3.x.x,devDependencies,64,43,0
npm,cli-7.6.2,iconv-lite,async,3.x.x,devDependencies,65,43,0
oracle,node-oracledb-5.1.0,oracledb,async,3.x.x,devDependencies,66,43,0
quasarframework,quasar-quasar-v2.0.0-beta.9,@quasar/cli,async,3.x.x,dependencies,67,43,0
