moment,moment-2.29.1,moment/moment,oomphinc/composer-installers-extender,*,require
chartjs,Chart.js-3.0.0-beta.12,nnnick/chartjs,php,>=5.3.3,require
ccxt,ccxt-1.42.45,ccxt/ccxt,php,>=5.4.0,require
ccxt,ccxt-1.42.45,ccxt/ccxt,ext-bcmath,*,require
ccxt,ccxt-1.42.45,ccxt/ccxt,ext-curl,*,require
ccxt,ccxt-1.42.45,ccxt/ccxt,ext-iconv,*,require
ccxt,ccxt-1.42.45,ccxt/ccxt,ext-pcre,*,require
ccxt,ccxt-1.42.45,ccxt/ccxt,ext-json,*,require
ccxt,ccxt-1.42.45,ccxt/ccxt,ext-openssl,*,require
ccxt,ccxt-1.42.45,ccxt/ccxt,symfony/polyfill-mbstring,^1.7,require
ccxt,ccxt-1.42.45,ccxt/ccxt,pear/console_table,1.3.1,require
ccxt,ccxt-1.42.45,ccxt/ccxt,react/http,^1.2.0,require
ccxt,ccxt-1.42.45,ccxt/ccxt,recoil/react,^1.0.2,require
ccxt,ccxt-1.42.45,simplito/elliptic-php,phpunit/phpunit,*,require-dev
ccxt,ccxt-1.42.45,simplito/elliptic-php,phpbench/phpbench,@dev,require-dev
ccxt,ccxt-1.42.45,simplito/elliptic-php,ext-gmp,*,require
ccxt,ccxt-1.42.45,simplito/elliptic-php,simplito/bn-php,~1.1.0,require
ccxt,ccxt-1.42.45,simplito/elliptic-php,phpunit/phpunit,*,require
ccxt,ccxt-1.42.45,simplito/elliptic-php,phpbench/phpbench,@dev,require
Dolibarr,dolibarr-13.0.1,sabre/vobject,phpunit/phpunit,*,require-dev
Dolibarr,dolibarr-13.0.1,sabre/vobject,sabre/cs,^1.0.0,require-dev
Dolibarr,dolibarr-13.0.1,sabre/vobject,php,>=5.5,require
Dolibarr,dolibarr-13.0.1,sabre/vobject,ext-mbstring,*,require
Dolibarr,dolibarr-13.0.1,sabre/vobject,sabre/xml,>=1.5<3.0,require
Dolibarr,dolibarr-13.0.1,sabre/vobject,phpunit/phpunit,*,require
Dolibarr,dolibarr-13.0.1,sabre/vobject,sabre/cs,^1.0.0,require
Dolibarr,dolibarr-13.0.1,tecnickcom/tcpdf,php,>=5.3.0,require
Dolibarr,dolibarr-13.0.1,erusev/parsedown,php,>=5.3.0,require
Dolibarr,dolibarr-13.0.1,nnnick/chartjs,php,>=5.3.3,require
Dolibarr,dolibarr-13.0.1,sabre/uri,sabre/cs,~1.0.0,require-dev
Dolibarr,dolibarr-13.0.1,sabre/uri,phpunit/phpunit,*,require-dev
Dolibarr,dolibarr-13.0.1,sabre/uri,php,>=5.4.7,require
Dolibarr,dolibarr-13.0.1,sabre/uri,sabre/cs,~1.0.0,require
Dolibarr,dolibarr-13.0.1,sabre/uri,phpunit/phpunit,*,require
Dolibarr,dolibarr-13.0.1,symfony/var-dumper,twig/twig,~1.20|~2.0,require-dev
Dolibarr,dolibarr-13.0.1,symfony/var-dumper,php,>=5.5.9,require
Dolibarr,dolibarr-13.0.1,symfony/var-dumper,symfony/polyfill-mbstring,~1.0,require
Dolibarr,dolibarr-13.0.1,symfony/var-dumper,twig/twig,~1.20|~2.0,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,php-parallel-lint/php-parallel-lint,^0,require-dev
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,php-parallel-lint/php-console-highlighter,^0,require-dev
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,phpunit/phpunit,^4,require-dev
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,squizlabs/php_codesniffer,^2,require-dev
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,phpunit/phpunit-selenium,^2,require-dev
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,php,>=5.6.0,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,ext-curl,*,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,ckeditor/ckeditor,4.12.1,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,mike42/escpos-php,2.2,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,mobiledetect/mobiledetectlib,2.8.34,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,phpoffice/phpexcel,1.8.1,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,restler/framework,3.0.0-RC6,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,tecnickcom/tcpdf,6.3.2,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,nnnick/chartjs,^2.9,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,stripe/stripe-php,6.43.1,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,maximebf/debugbar,1.15.1,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,symfony/var-dumper,3,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,php-parallel-lint/php-parallel-lint,^0,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,php-parallel-lint/php-console-highlighter,^0,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,phpunit/phpunit,^4,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,squizlabs/php_codesniffer,^2,require
Dolibarr,dolibarr-13.0.1,dolibarr/dolibarr,phpunit/phpunit-selenium,^2,require
Dolibarr,dolibarr-13.0.1,sabre/http,phpunit/phpunit,~4.3,require-dev
Dolibarr,dolibarr-13.0.1,sabre/http,sabre/cs,~0.0.1,require-dev
Dolibarr,dolibarr-13.0.1,sabre/http,php,>=5.4,require
Dolibarr,dolibarr-13.0.1,sabre/http,ext-mbstring,*,require
Dolibarr,dolibarr-13.0.1,sabre/http,ext-ctype,*,require
Dolibarr,dolibarr-13.0.1,sabre/http,sabre/event,>=1.0.0<4.0.0,require
Dolibarr,dolibarr-13.0.1,sabre/http,sabre/uri,~1.0,require
Dolibarr,dolibarr-13.0.1,sabre/http,phpunit/phpunit,~4.3,require
Dolibarr,dolibarr-13.0.1,sabre/http,sabre/cs,~0.0.1,require
Dolibarr,dolibarr-13.0.1,sabre/dav,phpunit/phpunit,>4.8<6.0.0,require-dev
Dolibarr,dolibarr-13.0.1,sabre/dav,evert/phpdoc-md,~0.1.0,require-dev
Dolibarr,dolibarr-13.0.1,sabre/dav,sabre/cs,^1.0.0,require-dev
Dolibarr,dolibarr-13.0.1,sabre/dav,monolog/monolog,^1.18,require-dev
Dolibarr,dolibarr-13.0.1,sabre/dav,php,>=5.5.0,require
Dolibarr,dolibarr-13.0.1,sabre/dav,sabre/vobject,^4.1.0,require
Dolibarr,dolibarr-13.0.1,sabre/dav,sabre/event,>=2.0.0<4.0.0,require
Dolibarr,dolibarr-13.0.1,sabre/dav,sabre/xml,^1.4.0,require
Dolibarr,dolibarr-13.0.1,sabre/dav,sabre/http,^4.2.1,require
Dolibarr,dolibarr-13.0.1,sabre/dav,sabre/uri,^1.0.1,require
Dolibarr,dolibarr-13.0.1,sabre/dav,ext-dom,*,require
Dolibarr,dolibarr-13.0.1,sabre/dav,ext-pcre,*,require
Dolibarr,dolibarr-13.0.1,sabre/dav,ext-spl,*,require
Dolibarr,dolibarr-13.0.1,sabre/dav,ext-simplexml,*,require
Dolibarr,dolibarr-13.0.1,sabre/dav,ext-mbstring,*,require
Dolibarr,dolibarr-13.0.1,sabre/dav,ext-ctype,*,require
Dolibarr,dolibarr-13.0.1,sabre/dav,ext-date,*,require
Dolibarr,dolibarr-13.0.1,sabre/dav,ext-iconv,*,require
Dolibarr,dolibarr-13.0.1,sabre/dav,lib-libxml,>=2.7.0,require
Dolibarr,dolibarr-13.0.1,sabre/dav,psr/log,^1.0,require
Dolibarr,dolibarr-13.0.1,sabre/dav,phpunit/phpunit,>4.8<6.0.0,require
Dolibarr,dolibarr-13.0.1,sabre/dav,evert/phpdoc-md,~0.1.0,require
Dolibarr,dolibarr-13.0.1,sabre/dav,sabre/cs,^1.0.0,require
Dolibarr,dolibarr-13.0.1,sabre/dav,monolog/monolog,^1.18,require
Dolibarr,dolibarr-13.0.1,maximebf/debugbar,phpunit/phpunit,^5,require-dev
Dolibarr,dolibarr-13.0.1,maximebf/debugbar,php,>=5.6,require
Dolibarr,dolibarr-13.0.1,maximebf/debugbar,psr/log,^1.0,require
Dolibarr,dolibarr-13.0.1,maximebf/debugbar,symfony/var-dumper,^2.6|^3|^4,require
Dolibarr,dolibarr-13.0.1,maximebf/debugbar,phpunit/phpunit,^5,require
Dolibarr,dolibarr-13.0.1,psr/simple-cache,php,>=5.3.0,require
Dolibarr,dolibarr-13.0.1,mike42/escpos-php,phpunit/phpunit,^4.8,require-dev
Dolibarr,dolibarr-13.0.1,mike42/escpos-php,squizlabs/php_codesniffer,^3.2,require-dev
Dolibarr,dolibarr-13.0.1,mike42/escpos-php,guzzlehttp/guzzle,^5.3,require-dev
Dolibarr,dolibarr-13.0.1,mike42/escpos-php,php,>=5.4.0,require
Dolibarr,dolibarr-13.0.1,mike42/escpos-php,ext-mbstring,*,require
Dolibarr,dolibarr-13.0.1,mike42/escpos-php,phpunit/phpunit,^4.8,require
Dolibarr,dolibarr-13.0.1,mike42/escpos-php,squizlabs/php_codesniffer,^3.2,require
Dolibarr,dolibarr-13.0.1,mike42/escpos-php,guzzlehttp/guzzle,^5.3,require
Dolibarr,dolibarr-13.0.1,stripe/stripe-php,phpunit/phpunit,~4.0,require-dev
Dolibarr,dolibarr-13.0.1,stripe/stripe-php,php-coveralls/php-coveralls,1.*,require-dev
Dolibarr,dolibarr-13.0.1,stripe/stripe-php,squizlabs/php_codesniffer,~2.0,require-dev
Dolibarr,dolibarr-13.0.1,stripe/stripe-php,symfony/process,~2.8,require-dev
Dolibarr,dolibarr-13.0.1,stripe/stripe-php,php,>=5.4.0,require
Dolibarr,dolibarr-13.0.1,stripe/stripe-php,ext-curl,*,require
Dolibarr,dolibarr-13.0.1,stripe/stripe-php,ext-json,*,require
Dolibarr,dolibarr-13.0.1,stripe/stripe-php,ext-mbstring,*,require
Dolibarr,dolibarr-13.0.1,stripe/stripe-php,phpunit/phpunit,~4.0,require
Dolibarr,dolibarr-13.0.1,stripe/stripe-php,php-coveralls/php-coveralls,1.*,require
Dolibarr,dolibarr-13.0.1,stripe/stripe-php,squizlabs/php_codesniffer,~2.0,require
Dolibarr,dolibarr-13.0.1,stripe/stripe-php,symfony/process,~2.8,require
Dolibarr,dolibarr-13.0.1,mobiledetect/mobiledetectlib,phpunit/phpunit,~4.8.35||~5.7,require-dev
Dolibarr,dolibarr-13.0.1,mobiledetect/mobiledetectlib,php,>=5.0.0,require
Dolibarr,dolibarr-13.0.1,mobiledetect/mobiledetectlib,phpunit/phpunit,~4.8.35||~5.7,require
Dolibarr,dolibarr-13.0.1,sabre/xml,sabre/cs,~1.0.0,require-dev
Dolibarr,dolibarr-13.0.1,sabre/xml,phpunit/phpunit,*,require-dev
Dolibarr,dolibarr-13.0.1,sabre/xml,php,>=5.5.5,require
Dolibarr,dolibarr-13.0.1,sabre/xml,ext-xmlwriter,*,require
Dolibarr,dolibarr-13.0.1,sabre/xml,ext-xmlreader,*,require
Dolibarr,dolibarr-13.0.1,sabre/xml,ext-dom,*,require
Dolibarr,dolibarr-13.0.1,sabre/xml,lib-libxml,>=2.6.20,require
Dolibarr,dolibarr-13.0.1,sabre/xml,sabre/uri,>=1.0<3.0.0,require
Dolibarr,dolibarr-13.0.1,sabre/xml,sabre/cs,~1.0.0,require
Dolibarr,dolibarr-13.0.1,sabre/xml,phpunit/phpunit,*,require
Dolibarr,dolibarr-13.0.1,restler/framework,php,>=5.3.0,require
Dolibarr,dolibarr-13.0.1,sabre/event,sabre/cs,~0.0.4,require-dev
Dolibarr,dolibarr-13.0.1,sabre/event,phpunit/phpunit,*,require-dev
Dolibarr,dolibarr-13.0.1,sabre/event,php,>=5.5,require
Dolibarr,dolibarr-13.0.1,sabre/event,sabre/cs,~0.0.4,require
Dolibarr,dolibarr-13.0.1,sabre/event,phpunit/phpunit,*,require
Dolibarr,dolibarr-13.0.1,doctrine/lexer,php,>=5.3.2,require
Dolibarr,dolibarr-13.0.1,psr/log,php,>=5.3.0,require
zenorocha,clipboard.js-2.0.6,zenorocha/clipboardjs,oomphinc/composer-installers-extender,*,require
uxsolutions,bootstrap-datepicker-1.9.0,eternicode/bootstrap-datepicker,robloach/component-installer,*,require
uxsolutions,bootstrap-datepicker-1.9.0,eternicode/bootstrap-datepicker,components/bootstrap,>=2.0<4.0,require
uxsolutions,bootstrap-datepicker-1.9.0,eternicode/bootstrap-datepicker,components/jquery,>=1.7.1<4.0.0,require
adobe,brackets-release-1.14.2,dev,felixfbecker/language-server,^5.4,require
